UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2012,999,314112078,154528573,159583505,121064328,123444848,19719238,21543051,1947876,1909420,7742603,8520331,359963,348255,3694565,3817600,124329333,126797908,21293628,23218997,3158437,3188987,9096325,9887970,703166,699009,127642195,133384245,97309084,100358884,18503922,20273859,1138628,1171359,7479982,8256881,262857,258406,2947722,3064856,99910688,103046085,19751038,21610136,2018153,2121248,8626526,9415224,533821,536848,26886378,26199260,23755244,23085964,1215316,1269192,809248,738061,262621,263450,97106,89849,746843,752744,24418645,23751823,1542590,1608861,1140284,1067739,469799,472746,169345,162161
R,7,2012,0,3926665,2007693,1918972,1446513,1379376,305054,295411,33212,31913,97194,92049,6105,5807,119615,114416,1556599,1484637,369499,357412,57469,55142,141098,133741,14705,14014,1493713,1424417,1010779,959748,275459,267050,17064,16480,91022,86144,4008,3788,95381,91207,1099034,1044109,327667,317338,32914,31632,127442,120673,10280,9753,513980,494555,435734,419628,29595,28361,16148,15433,6172,5905,2097,2019,24234,23209,457565,440528,41832,40074,24555,23510,13656,13068,4425,4261
R,7,2012,1,3978006,2035380,1942626,1473394,1401854,306642,297252,32181,31182,97077,92440,6093,5715,119993,114183,1583867,1506896,371019,358899,56789,54739,141059,133939,14791,13896,1506773,1434063,1020619,967105,278418,269544,17320,16511,91043,86686,4016,3713,95357,90504,1108866,1050787,330481,319264,33344,31805,127389,120946,10333,9625,528607,508563,452775,434749,28224,27708,14861,14671,6034,5754,2077,2002,24636,23679,475001,456109,40538,39635,23445,22934,13670,12993,4458,4271
R,7,2012,2,3979952,2032008,1947944,1469043,1402652,305068,296108,32638,31816,99763,95760,5985,5761,119511,115847,1579188,1509195,369297,358938,57105,55833,143395,137558,14497,13932,1507920,1443263,1021474,971621,276567,268699,17132,16987,93747,90080,3978,3794,95022,92082,1109484,1056710,328555,319395,33010,32723,129846,124716,10199,9709,524088,504681,447569,431031,28501,27409,15506,14829,6016,5680,2007,1967,24489,23765,469704,452485,40742,39543,24095,23110,13549,12842,4298,4223
R,7,2012,3,3983049,2032562,1950487,1471265,1405212,307364,299365,32716,31742,98972,95836,5979,5932,116266,112400,1578052,1508596,369964,360557,56635,54442,141233,136266,14225,13923,1515156,1452542,1029203,979924,278965,271851,17365,16949,92922,90146,3956,3958,92745,89714,1114809,1062860,329902,321707,32969,31686,127997,123803,10004,9818,517406,497945,442062,425288,28399,27514,15351,14793,6050,5690,2023,1974,23521,22686,463243,445736,40062,38850,23666,22756,13236,12463,4221,4105
R,7,2012,4,4112638,2099244,2013394,1521895,1452060,317277,309327,34051,32857,103348,100212,6201,5959,116472,112979,1628780,1555734,379883,371085,57927,56005,145672,140602,14714,13875,1564068,1500364,1062892,1012807,288361,281413,18010,17579,97447,94484,4149,3918,93209,90163,1148810,1095892,339578,331812,33651,32584,132690,128020,10379,9736,535176,513030,459003,439253,28916,27914,16041,15278,5901,5728,2052,2041,23263,22816,479970,459842,40305,39273,24276,23421,12982,12582,4335,4139
R,7,2012,5,4132210,2111381,2020829,1537232,1465914,318220,307751,34612,33090,102286,98400,6152,6027,112879,109647,1640857,1566343,378637,366996,58153,56030,143326,137722,14396,13990,1576473,1507224,1078027,1024614,289760,280539,18045,17716,96282,92793,4135,3994,90224,87568,1161271,1105156,339069,329027,33501,32650,130337,125507,10193,9824,534908,513605,459205,441300,28460,27212,16567,15374,6004,5607,2017,2033,22655,22079,479586,461187,39568,37969,24652,23380,12989,12215,4203,4166
R,7,2012,6,4097780,2094576,2003204,1535724,1460295,309274,301773,33886,32641,101360,98592,6031,5782,108301,104121,1635064,1555776,366374,357245,56931,54668,141140,136359,13917,13318,1571028,1501099,1084095,1027525,282306,275481,18049,17549,95597,93289,4038,3861,86943,83394,1164167,1104318,329201,321044,33204,31972,128886,124748,9868,9377,523548,502105,451629,432770,26968,26292,15837,15092,5763,5303,1993,1921,21358,20727,470897,451458,37173,36201,23727,22696,12254,11611,4049,3941
R,7,2012,7,4084964,2086621,1998343,1535490,1461147,305607,296230,33485,32699,102329,101722,6015,5795,103695,100750,1630366,1553168,359554,349201,56164,54542,140710,138491,13570,13077,1574170,1507721,1092455,1037557,279540,270926,18007,17565,96796,96530,4073,4006,83299,81137,1169008,1111930,323837,314598,32955,31947,128989,127456,9653,9439,512451,490622,443035,423590,26067,25304,15478,15134,5533,5192,1942,1789,20396,19613,461358,441238,35717,34603,23209,22595,11721,11035,3917,3638
R,7,2012,8,4093213,2089102,2004111,1545003,1472086,303268,294425,32631,31981,102293,102581,5796,5531,100111,97507,1636615,1561296,354652,345080,54829,53633,139541,138363,13192,12699,1589909,1522463,1112132,1054998,278278,270160,17891,17304,96905,97514,4007,3804,80696,78683,1186309,1127236,320608,311985,32740,31928,128203,127581,9522,9095,499193,481648,432871,417088,24990,24265,14740,14677,5388,5067,1789,1727,19415,18824,450306,434060,34044,33095,22089,21705,11338,10782,3670,3604
R,7,2012,9,4063193,2072752,1990441,1536237,1465329,301321,293104,32380,31322,101690,102118,5755,5512,95369,93056,1623235,1550382,350042,340713,54208,52745,136920,136372,13004,12313,1583410,1517124,1111361,1054397,276862,269757,17639,17004,96487,97056,3972,3820,77089,75090,1181966,1123332,317137,309070,32345,31472,126166,125810,9382,8954,489342,473317,424876,410932,24459,23347,14741,14318,5203,5062,1783,1692,18280,17966,441269,427050,32905,31643,21863,21273,10754,10562,3622,3359
R,7,2012,10,4045840,2064128,1981712,1530846,1460115,306565,297971,32259,31033,97251,97068,5603,5373,91604,90152,1614396,1542131,353235,344530,53809,52557,130759,129444,12521,12122,1581243,1515626,1110846,1054977,282536,274736,17810,17146,92256,92273,3909,3702,73886,72792,1178501,1121522,321171,313254,32275,31726,120339,119413,9136,8787,482885,466086,420000,405138,24029,23235,14449,13887,4995,4795,1694,1671,17718,17360,435895,420609,32064,31276,21534,20831,10420,10031,3385,3335
R,7,2012,11,4145919,2116780,2029139,1567624,1494720,317920,308319,32439,31534,101111,99887,5621,5526,92065,89153,1651339,1575909,364664,353999,54593,52937,134737,131979,12641,12343,1630738,1560207,1144320,1086400,293783,285187,18226,17615,96151,95190,3963,3790,74295,72025,1212054,1152244,332404,323056,33356,32218,124440,122184,9228,8921,486042,468932,423304,408320,24137,23132,14213,13919,4960,4697,1658,1736,17770,17128,439285,423665,32260,30943,21237,20719,10297,9795,3413,3422
R,7,2012,12,4208013,2152093,2055920,1595360,1515321,327934,316883,33415,32071,99095,97924,5831,5451,90458,88270,1677742,1595313,373751,362405,56040,54020,131355,129129,12692,12184,1665231,1588330,1170984,1108281,303856,293522,18961,18063,94141,93216,4113,3841,73176,71407,1237840,1173218,341815,331255,34461,33224,121364,119388,9317,8917,486862,467590,424376,407040,24078,23361,14454,14008,4954,4708,1718,1610,17282,16863,439902,422095,31936,31150,21579,20796,9991,9741,3375,3267
