UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2013,999,316497531,155741368,160756163,121636085,123956993,19945997,21767521,1973581,1935444,7999640,8803727,368998,356332,3817067,3936146,125013936,127419291,21586871,23507867,3204755,3235107,9401566,10217799,720746,715307,128290658,133969957,97405582,100371294,18693531,20462442,1148533,1181626,7730554,8533604,269620,264302,3042838,3156689,100095159,103143336,19992160,21848737,2039665,2142643,8917687,9731030,546820,548784,27450710,26786206,24230503,23585699,1252466,1305079,825048,753818,269086,270123,99378,92030,774229,779457,24918777,24275955,1594711,1659130,1165090,1092464,483879,486769,173926,166523
R,7,2013,0,3945610,2015537,1930073,1443506,1379286,307198,298497,32462,31318,104530,98391,6392,6073,121449,116508,1555244,1486423,372400,361649,56745,54725,149607,141093,15188,14420,1499825,1431586,1006263,956758,277007,269307,17079,16419,98266,92220,4257,3976,96953,92906,1095926,1042633,329831,320520,32936,31673,135731,127612,10692,10060,515712,498487,437243,422528,30191,29190,15383,14899,6264,6171,2135,2097,24496,23602,459318,443790,42569,41129,23809,23052,13876,13481,4496,4360
R,7,2013,1,3943077,2015352,1927725,1449560,1382507,305848,296218,33265,31984,100620,96445,6178,5872,119881,114699,1559865,1488004,370351,358299,57558,55259,144725,138325,14799,14098,1498797,1430713,1011572,960771,276131,267734,17035,16465,94441,90527,4062,3838,95556,91378,1099954,1045261,328334,318024,32890,31622,131054,125238,10354,9819,516555,497012,437988,421736,29717,28484,16230,15519,6179,5918,2116,2034,24325,23321,459911,442743,42017,40275,24668,23637,13671,13087,4445,4279
R,7,2013,2,3992690,2042522,1950168,1476318,1404592,307622,298197,32227,31228,100034,95973,6130,5769,120191,114409,1586954,1509822,372053,359901,56860,54809,144157,137638,14848,13971,1511864,1439678,1021761,968147,279258,270384,17318,16504,93990,90210,4049,3762,95488,90671,1110111,1051957,331329,320122,33341,31804,130473,124631,10383,9694,530658,510490,454557,436445,28364,27813,14909,14724,6044,5763,2081,2007,24703,23738,476843,457865,40724,39779,23519,23005,13684,13007,4465,4277
R,7,2013,3,3992425,2038085,1954340,1471630,1405349,305957,296979,32645,31847,102171,98344,6029,5806,119653,116015,1581892,1512029,370230,359854,57125,55885,145904,140261,14551,13995,1512165,1447729,1022439,972600,277329,269452,17123,16981,96144,92658,4022,3841,95108,92197,1110513,1057777,329319,320160,32997,32719,132336,127407,10252,9772,525920,506611,449191,432749,28628,27527,15522,14866,6027,5686,2007,1965,24545,23818,471379,454252,40911,39694,24128,23166,13568,12854,4299,4223
R,7,2013,4,3994047,2037953,1956094,1473657,1407856,308209,300215,32735,31759,100944,97737,6016,5982,116392,112545,1580549,1511363,370855,361460,56673,54483,143285,138254,14269,13986,1518754,1456266,1030004,980881,279701,272596,17360,16947,94885,92044,3994,4001,92810,89797,1115657,1063878,330637,322464,32962,31682,130038,125784,10050,9874,519199,499828,443653,426975,28508,27619,15375,14812,6059,5693,2022,1981,23582,22748,464892,447485,40218,38996,23711,22801,13247,12470,4219,4112
R,7,2013,5,4123408,2104725,2018683,1524439,1454624,318190,310288,34063,32882,105177,101765,6236,5989,116620,113135,1631446,1558430,380842,372111,57955,56057,147602,142237,14764,13915,1567630,1503733,1063699,1013673,289160,282250,18002,17583,99270,96039,4186,3942,93313,90246,1149698,1096820,340390,332663,33644,32591,134615,129651,10432,9770,537095,514950,460740,440951,29030,28038,16061,15299,5907,5726,2050,2047,23307,22889,481748,461610,40452,39448,24311,23466,12987,12586,4332,4145
R,7,2013,6,4143094,2116922,2026172,1539860,1468487,319132,308751,34628,33114,104093,99974,6183,6058,113026,109788,1643599,1569037,379594,368045,58182,56074,145246,139379,14442,14035,1579976,1510551,1078788,1025392,290555,281399,18039,17717,98085,94364,4165,4023,90344,87656,1162120,1106004,339884,329896,33504,32655,132253,127159,10239,9867,536946,515621,461072,443095,28577,27352,16589,15397,6008,5610,2018,2035,22682,22132,481479,463033,39710,38149,24678,23419,12993,12220,4203,4168
R,7,2013,7,4108615,2099841,2008774,1538124,1462908,310126,302779,33909,32676,103196,100297,6048,5833,108438,104281,1637584,1558528,367281,358313,56971,54727,143053,138153,13944,13382,1574388,1504552,1084797,1028273,283041,276350,18044,17547,97428,94981,4053,3907,87025,83494,1164936,1105146,329950,321933,33199,31974,130790,126524,9894,9434,525453,504222,453327,434635,27085,26429,15865,15129,5768,5316,1995,1926,21413,20787,472648,453382,37331,36380,23772,22753,12263,11629,4050,3948
R,7,2013,8,4095827,2091869,2003958,1537736,1463781,306528,297230,33513,32733,104246,103444,6031,5839,103815,100931,1632710,1555957,360528,350279,56210,54606,142691,140311,13595,13133,1577570,1511068,1093119,1038200,280302,271798,18002,17563,98699,98229,4086,4048,83362,81230,1169718,1112644,324605,315484,32954,31947,130953,129245,9675,9493,514299,492890,444617,425581,26226,25432,15511,15170,5547,5215,1945,1791,20453,19701,462992,443313,35923,34795,23256,22659,11738,11066,3920,3640
