UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2014,999,317756435,156385077,161371358,121951572,124234839,20064554,21884006,1987075,1949112,8128685,8945766,373301,360406,3879890,3997229,125387340,127753492,21739656,23657490,3228711,3259224,9555370,10383704,729437,723583,128642244,134285197,97474624,100394015,18793228,20560647,1153698,1187038,7856270,8672204,272732,267249,3091692,3204044,100209416,103209924,20118420,21972685,2050709,2153858,9064287,9889715,553136,554805,27742833,27086161,24476948,23840824,1271326,1323359,833377,762074,272415,273562,100569,93157,788198,793185,25177924,24543568,1621236,1684805,1178002,1105366,491083,493989,176301,168778
R,1,2014,0,3948135,2017746,1930389,1447952,1381824,306109,297116,32894,31656,103237,97456,6345,6057,121209,116280,1559476,1488770,371113,360054,57227,55071,148205,140078,15120,14418,1503270,1434065,1012091,961384,276092,268169,17099,16488,97000,91310,4217,3961,96771,92753,1101594,1047140,328759,319213,32998,31767,134383,126645,10634,10055,514476,496324,435861,420440,30017,28947,15795,15168,6237,6146,2128,2096,24438,23527,457882,441630,42354,40841,24229,23304,13822,13433,4486,4363
R,1,2014,1,3959646,2022884,1936762,1449212,1383257,306514,297564,32902,31691,106522,101706,6411,6113,121323,116431,1560811,1490311,371489,360513,57235,55129,151640,144468,15202,14485,1506430,1438545,1011589,961194,276408,268516,17048,16453,100283,95552,4266,4005,96836,92825,1101114,1046980,329006,319510,32935,31726,137820,131032,10706,10112,516454,498217,437623,422063,30106,29048,15854,15238,6239,6154,2145,2108,24487,23606,459697,443331,42483,41003,24300,23403,13820,13436,4496,4373
R,1,2014,2,3973597,2031939,1941658,1464274,1394160,307022,297667,32974,31852,101433,97682,6160,5857,120076,114440,1574771,1499396,371633,359429,57434,55204,145486,139559,14819,14075,1507952,1438206,1018502,966080,277390,269193,17196,16406,95267,91784,4036,3799,95561,90944,1106904,1050143,329646,319090,33147,31571,131744,126449,10339,9753,523987,503452,445772,428080,29632,28474,15778,15446,6166,5898,2124,2058,24515,23496,467867,449253,41987,40339,24287,23633,13742,13110,4480,4322
R,1,2014,3,4039582,2064114,1975468,1491883,1423204,310652,301101,32228,31382,102039,98211,6140,5725,121172,115845,1603478,1529806,375573,363652,57184,55474,146374,140112,14857,13923,1526583,1457899,1030677,979263,282489,273433,17228,16910,95980,92613,4084,3824,96125,91856,1119632,1064164,334837,323819,33388,32570,132670,127343,10430,9803,537531,517569,461206,443941,28163,27668,15000,14472,6059,5598,2056,1901,25047,23989,483846,465642,40736,39833,23796,22904,13704,12769,4427,4120
R,1,2014,4,3973949,2027752,1946197,1463194,1397920,305343,297036,32833,31813,102408,98850,6062,5903,117912,114675,1571709,1503310,368773,359413,56783,55173,145656,140335,14402,14049,1509155,1446200,1020677,971588,276748,269323,17405,16949,96394,93067,4062,3912,93869,91361,1107539,1055947,328202,319859,32978,32232,132185,127521,10169,9864,518597,499997,442517,426332,28595,27713,15428,14864,6014,5783,2000,1991,24043,23314,464170,447363,40571,39554,23805,22941,13471,12814,4233,4185
R,1,2014,5,4082948,2084324,1998624,1507348,1438366,316734,308150,33352,32080,103688,100244,6179,6072,117023,113712,1614819,1542845,379770,370196,57244,55138,146106,140933,14637,14100,1553917,1489258,1053198,1002459,287531,280267,17697,17220,97681,94512,4140,4050,93670,90750,1139536,1086288,339036,330912,33354,32107,133069,128348,10352,9887,530407,509366,454150,435907,29203,27883,15655,14860,6007,5732,2039,2022,23353,22962,475283,456557,40734,39284,23890,23031,13037,12585,4285,4213
R,1,2014,6,4133961,2110835,2023126,1532084,1461846,317441,309127,34115,33283,106247,101886,6234,6039,114714,110945,1637306,1563554,378913,369373,57958,56290,147990,141711,14591,13970,1573311,1506724,1070662,1018785,288673,281434,17858,17776,100284,96339,4179,3999,91655,88391,1155154,1100120,338809,330450,33440,32713,134996,129410,10359,9810,537524,516402,461422,443061,28768,27693,16257,15507,5963,5547,2055,2040,23059,22554,482152,463434,40104,38923,24518,23577,12994,12301,4232,4160
R,1,2014,7,4132803,2111768,2021035,1539393,1468091,316259,306372,34465,32764,104316,100470,6044,5908,111291,107430,1641455,1566583,375236,364068,57857,55333,145179,139059,14223,13681,1579074,1508967,1080976,1027637,288401,279188,18090,17464,98407,94929,4079,3917,89121,85832,1163077,1106644,336652,326507,33419,32180,132470,127038,10075,9610,532694,512068,458417,440454,27858,27184,16375,15300,5909,5541,1965,1991,22170,21598,478378,459939,38584,37561,24438,23153,12709,12021,4148,4071
R,1,2014,8,4100363,2095700,2004663,1538540,1461455,307470,299795,33745,32865,104069,102352,6032,5965,105844,102231,1635482,1555007,362887,353857,56543,54707,143112,139823,13728,13301,1574973,1506093,1088920,1031157,280770,273955,17984,17687,98510,97132,4003,4053,84786,82109,1166900,1106546,326208,318343,32927,31982,131211,128573,9668,9511,520727,498570,449620,430298,26700,25840,15761,15178,5559,5220,2029,1912,21058,20122,468582,448461,36679,35514,23616,22725,11901,11250,4060,3790
