UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2012,999,313009682,153960568,159049114,120795425,123217884,19613076,21438901,1935122,1896360,7624557,8390256,356297,344551,3636091,3761162,124006865,126518883,21155303,23084219,3136155,3166252,8954824,9735784,695483,691426,127337282,133128265,97260910,100368485,18415184,20186597,1133923,1166302,7364990,8129991,260280,255762,2901995,3021128,99820622,103015197,19637123,21499084,2008029,2110835,8491613,9269732,528276,531362,26623286,25920849,23534515,22849399,1197892,1252304,801199,730058,259567,260265,96017,88789,734096,740034,24186243,23503686,1518180,1585135,1128126,1055417,463211,466052,167207,160064
R,1,2012,0,3943138,2017446,1925692,1458431,1388413,305281,295945,32871,31739,95187,89927,6055,5738,119621,113930,1568557,1493226,369781,357560,57271,55021,138910,131462,14669,13908,1498023,1426563,1016644,964078,275910,267703,17227,16429,89039,84055,3953,3700,95250,90598,1104819,1047878,328153,317573,33169,31576,125188,118380,10211,9608,519423,499129,441787,424335,29371,28242,15644,15310,6148,5872,2102,2038,24371,23332,463738,445348,41628,39987,24102,23445,13722,13082,4458,4300
R,1,2012,1,4013117,2051223,1961894,1486513,1417894,308839,299330,32178,31309,96795,92248,6061,5629,120837,115484,1597835,1524191,373663,361785,57083,55362,140897,133883,14753,13796,1517527,1448084,1028669,977302,280938,271879,17240,16921,90756,86665,4008,3730,95916,91587,1117466,1061989,333276,322233,33396,32573,127226,121133,10329,9679,533696,513810,457844,440592,27901,27451,14938,14388,6039,5583,2053,1899,24921,23897,480369,462202,40387,39552,23687,22789,13671,12750,4424,4117
R,1,2012,2,3951060,2016549,1934511,1458321,1392694,303657,295366,32804,31770,98133,94486,5983,5814,117651,114381,1566621,1497832,366995,357647,56721,55097,141208,135782,14303,13931,1501535,1438258,1018984,969719,275297,267869,17420,16960,92134,88709,3982,3826,93718,91175,1105739,1053933,326743,318385,32998,32243,127754,122980,10067,9751,515014,496253,439337,422975,28360,27497,15384,14810,5999,5777,2001,1988,23933,23206,460882,443899,40252,39262,23723,22854,13454,12802,4236,4180
R,1,2012,3,4061624,2073682,1987942,1502504,1433254,315025,306373,33319,32039,99973,96873,6111,5995,116750,113408,1609753,1537472,377967,368293,57178,55041,142212,137400,14541,14006,1546924,1482341,1051637,1000695,286034,278716,17708,17220,93978,91141,4069,3984,93498,90585,1137850,1084395,337522,329336,33368,32100,129186,124823,10252,9805,526758,505601,450867,432559,28991,27657,15611,14819,5995,5732,2042,2011,23252,22823,471903,453077,40445,38957,23810,22941,13026,12577,4289,4201
R,1,2012,4,4112743,2100040,2012703,1526994,1456807,315661,307219,34084,33230,102693,98826,6168,5977,114440,110644,1631998,1558255,377057,367347,57903,56188,144231,138489,14494,13883,1566429,1500207,1069136,1017204,287120,279788,17871,17769,96740,93282,4113,3945,91449,88219,1153476,1098402,337231,328777,33451,32703,131249,126199,10262,9731,533611,512496,457858,439603,28541,27431,16213,15461,5953,5544,2055,2032,22991,22425,478522,459853,39826,38570,24452,23485,12982,12290,4232,4152
R,1,2012,5,4111509,2101152,2010357,1534429,1462989,314534,304419,34426,32709,100757,97269,5998,5829,111008,107142,1636260,1561232,373415,362007,57783,55244,141433,135688,14148,13578,1572371,1502375,1079547,1026163,286906,277505,18103,17470,94854,91743,4038,3845,88923,85649,1161498,1105023,335126,324796,33423,32183,128735,123685,10005,9514,528781,507982,454882,436826,27628,26914,16323,15239,5903,5526,1960,1984,22085,21493,474762,456209,38289,37211,24360,23061,12698,12003,4143,4064
R,1,2012,6,4079061,2085395,1993666,1533972,1456266,305734,297816,33697,32797,100398,98993,6000,5874,105594,101920,1630695,1549544,361049,351749,56461,54597,139300,136293,13677,13184,1568384,1499450,1087608,1029802,279304,272242,17994,17693,94852,93810,3978,3970,84648,81933,1165477,1105047,324724,316603,32938,31987,127418,125088,9625,9403,517011,494216,446364,426464,26430,25574,15703,15104,5546,5183,2022,1904,20946,19987,465218,444497,36325,35146,23523,22610,11882,11205,4052,3781
R,1,2012,7,4081493,2083542,1997951,1536848,1464214,303922,294717,33168,32037,102001,102053,5953,5631,101650,99299,1629862,1554954,356549,346575,55481,53835,139737,138371,13402,12869,1578969,1513160,1099729,1045004,278498,270061,18089,17187,96477,96865,4118,3905,82058,80138,1175183,1118494,321832,312900,33032,31771,128180,127454,9650,9293,504573,484791,437119,419210,25424,24656,15079,14850,5524,5188,1835,1726,19592,19161,454679,436460,34717,33675,22449,22064,11557,10917,3752,3576
R,1,2012,8,4070950,2077215,1993735,1540014,1467554,300890,292284,32086,31647,100696,101479,5716,5407,97813,95364,1629439,1554778,350921,341459,54178,53149,136942,136578,13013,12434,1585172,1518678,1113063,1055933,276328,268519,17593,17129,95433,96402,3940,3743,78815,76952,1185405,1126629,317605,309155,32370,31660,125888,125789,9392,8982,492043,475057,426951,411621,24562,23765,14493,14518,5263,5077,1776,1664,18998,18412,444034,428149,33316,32304,21808,21489,11054,10789,3621,3452
