UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2015,9,4111386,2101104,2010282,1540792,1464104,308458,300840,33773,32887,106037,104053,6057,6000,105987,102398,1637849,1557797,363928,354973,56593,54762,145169,141608,13764,13347,1578486,1509400,1089569,1031718,281576,274898,17980,17689,100462,98810,4026,4086,84873,82199,1167611,1107174,327025,319303,32927,31992,133248,130328,9702,9556,522618,500882,451223,432386,26882,25942,15793,15198,5575,5243,2031,1914,21114,20199,470238,450623,36903,35670,23666,22770,11921,11280,4062,3791
R,1,2015,10,4113989,2099351,2014638,1543460,1472083,306780,297839,33232,32125,107778,107110,6031,5740,102070,99741,1636821,1563201,359568,349890,55604,53999,145767,143653,13516,13014,1589247,1522979,1101624,1046710,280824,272834,18076,17196,102223,101866,4183,4008,82317,80365,1177271,1120369,324190,315710,33031,31787,134172,132666,9750,9429,510104,491659,441836,425373,25956,25005,15156,14929,5555,5244,1848,1732,19753,19376,459550,442832,35378,34180,22573,22212,11595,10987,3766,3585
R,1,2015,11,4103890,2093243,2010647,1546543,1475479,303922,295590,32133,31749,106622,106530,5815,5508,98208,95791,1636298,1563066,354110,344944,54276,53329,143105,141846,13144,12571,1595712,1528502,1114941,1057522,278781,271402,17575,17143,101333,101418,4020,3839,79062,77178,1187471,1128387,320092,312071,32362,31685,132022,131012,9503,9113,497531,482145,431602,417957,25141,24188,14558,14606,5289,5112,1795,1669,19146,18613,448827,434679,34018,32873,21914,21644,11083,10834,3641,3458
R,1,2015,12,4090595,2085736,2004859,1540936,1471665,306934,299523,32550,31596,105586,104861,5810,5557,93920,91657,1626529,1555175,354740,346581,54334,52946,140223,138315,12995,12370,1593539,1527423,1113343,1056600,282140,275815,17806,17275,100361,100012,4068,3859,75821,73862,1182678,1124213,321632,314602,32454,31641,129490,128108,9481,8975,492197,477436,427593,415065,24794,23708,14744,14321,5225,4849,1742,1698,18099,17795,443851,430962,33108,31979,21880,21305,10733,10207,3514,3395
R,1,2015,13,4115603,2100033,2015570,1553380,1482803,313946,304929,32411,31119,102544,101067,5671,5506,92081,90146,1637245,1564919,360947,351263,54358,52806,135996,133410,12620,12282,1612130,1543334,1128974,1071769,289434,281456,17980,17314,97670,96234,3957,3808,74115,72753,1196684,1138317,328168,319805,32818,32025,125751,123428,9207,8919,487903,472236,424406,411034,24512,23473,14431,13805,4874,4833,1714,1698,17966,17393,440561,426602,32779,31458,21540,20781,10245,9982,3413,3363
R,1,2015,14,4243702,2168418,2075284,1599069,1521261,329851,319701,33307,32255,107959,106615,5881,5715,92351,89737,1683129,1602738,376539,365749,55875,54142,141589,138791,12871,12530,1672274,1597520,1166736,1105608,305191,295728,18749,17924,102913,101787,4187,4006,74498,72467,1234705,1171655,343703,333729,34108,32995,131261,128806,9487,9127,496144,477764,432333,415653,24660,23973,14558,14331,5046,4828,1694,1709,17853,17270,448424,431083,32836,32020,21767,21147,10328,9985,3384,3403
R,1,2015,15,4180700,2137890,2042810,1584761,1506560,324610,313535,32754,31635,101200,99379,5787,5396,88778,86305,1665481,1584747,369723,357901,55124,53324,132576,129702,12667,12079,1655471,1578525,1164165,1101976,300467,290317,18639,18001,96348,94713,4092,3834,71760,69684,1229648,1165263,337813,327140,34058,32968,122772,120110,9286,8899,482419,464285,420596,404584,24143,23218,14115,13634,4852,4666,1695,1562,17018,16621,435833,419484,31910,30761,21066,20356,9804,9592,3381,3180
R,1,2015,16,4190250,2141270,2048980,1589305,1511592,325755,316026,32501,31585,100662,99543,5712,5342,87335,84892,1668491,1588612,369408,359180,54773,53649,131706,129132,12691,11805,1663028,1589538,1172185,1111077,301777,293178,18505,17904,95763,94823,4102,3795,70696,68761,1236512,1173664,337976,329009,33962,33352,121886,119622,9441,8753,478242,459442,417120,400515,23978,22848,13996,13681,4899,4720,1610,1547,16639,16131,431979,414948,31432,30171,20811,20297,9820,9510,3250,3052
R,1,2015,17,4164323,2130243,2034080,1579508,1499828,323806,313689,32247,31164,105411,102483,5724,5264,83547,81652,1655186,1573715,365123,354561,54243,52822,135195,131197,12223,11504,1657703,1583686,1166696,1106577,300542,291443,18280,17892,100563,97814,4111,3772,67511,66188,1228033,1166599,334704,325430,33680,33161,125573,121964,9075,8537,472540,450394,412812,393251,23264,22246,13967,13272,4848,4669,1613,1492,16036,15464,427153,407116,30419,29131,20563,19661,9622,9233,3148,2967
R,1,2015,18,4223030,2160927,2062103,1607255,1521894,324402,316259,32526,31171,108821,107090,5825,5378,82098,80311,1681579,1594354,364169,355897,54664,52971,138317,135462,12337,11839,1683458,1611260,1189333,1127971,301094,294405,18496,17772,104097,102403,4176,3852,66262,64857,1249512,1186626,333859,327205,33832,33041,129071,126276,9177,8834,477469,450843,417922,393923,23308,21854,14030,13399,4724,4687,1649,1526,15836,15454,432067,407728,30310,28692,20832,19930,9246,9186,3160,3005
