UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2011,999,311721632,153294635,158426997,120455118,122923910,19487042,21320013,1921017,1882428,7504605,8258479,352250,340704,3574603,3701463,123609444,126169878,20995816,22932737,3111198,3141831,8811669,9581095,687220,683488,126961498,132808911,97164962,100332971,18308117,20085750,1128127,1160722,7248401,8001454,257412,252984,2854479,2975030,99680208,102937031,19504244,21372952,1996034,2099399,8355704,9122024,522370,525620,26333137,25618086,23290156,22590939,1178925,1234263,792890,721706,256204,257025,94838,87720,720124,726433,23929236,23232847,1491572,1559785,1115164,1042432,455965,459071,164850,157868
R,7,2011,0,3963071,2028434,1934637,1470665,1398994,305936,296550,32133,31119,93922,88380,6024,5654,119754,113940,1580944,1503830,370270,358134,56703,54647,137717,129706,14702,13818,1502239,1428365,1020005,966228,277831,268956,17347,16527,87896,82640,3966,3665,95194,90349,1108132,1049791,329903,318678,33359,31819,124059,116725,10259,9554,526195,506272,450660,432766,28105,27594,14786,14592,6026,5740,2058,1989,24560,23591,472812,454039,40367,39456,23344,22828,13658,12981,4443,4264
R,7,2011,1,3966510,2025493,1941017,1466365,1400133,304197,295250,32601,31772,97040,92516,5951,5713,119339,115633,1576368,1506499,368378,358018,57045,55762,140549,134164,14449,13863,1503345,1438168,1020494,970704,275826,267939,17139,16995,91032,86844,3946,3751,94908,91935,1108418,1055680,327805,318620,33018,32726,127006,121340,10153,9647,522148,502849,445871,429429,28371,27311,15462,14777,6008,5672,2005,1962,24431,23698,467950,450819,40573,39398,24027,23036,13543,12824,4296,4216
R,7,2011,2,3971573,2026975,1944598,1468869,1402711,306584,298576,32709,31718,96750,93453,5938,5885,116125,112255,1575542,1505975,369138,359728,56610,54402,138917,133778,14169,13865,1511295,1448465,1028340,979051,278297,271166,17374,16955,90708,87770,3916,3910,92660,89613,1113885,1061910,329229,321013,32978,31690,125692,121322,9950,9759,515680,496133,440529,423660,28287,27410,15335,14763,6042,5683,2022,1975,23465,22642,461657,444065,39909,38715,23632,22712,13225,12456,4219,4106
R,7,2011,3,4102501,2094310,2008191,1519705,1449605,316514,308531,34037,32838,101529,98467,6169,5915,116356,112835,1626492,1553159,379075,370233,57897,55959,143784,138777,14674,13820,1560797,1496959,1062176,1011960,287702,280724,18015,17579,95635,92741,4114,3880,93155,90075,1148057,1094980,338916,331105,33663,32578,130812,126199,10335,9685,533513,511232,457529,437645,28812,27807,16022,15259,5894,5726,2055,2035,23201,22760,478435,458179,40159,39128,24234,23381,12972,12578,4339,4135
R,7,2011,4,4122303,2106354,2015949,1534897,1463522,317373,306875,34600,33068,100612,96980,6123,5996,112749,109508,1638418,1563832,377747,366058,58131,55985,141560,136233,14352,13948,1573235,1504200,1077308,1023860,289026,279785,18053,17714,94613,91373,4104,3969,90131,87499,1160482,1104351,338325,328261,33508,32649,128576,124023,10148,9787,533119,511749,457589,439662,28347,27090,16547,15354,5999,5607,2019,2027,22618,22009,477936,459481,39422,37797,24623,23336,12984,12210,4204,4161
R,7,2011,5,4087713,2089461,1998252,1533303,1457873,308430,300860,33869,32614,99701,97155,6005,5753,108153,103997,1632519,1553247,365488,356283,56897,54626,139375,134852,13880,13276,1567848,1498101,1083438,1026839,281573,274701,18053,17551,93942,91857,4013,3835,86829,83318,1163419,1103571,328450,320256,33204,31974,127126,123246,9831,9336,521613,500151,449865,431034,26857,26159,15816,15063,5759,5298,1992,1918,21324,20679,469100,449676,37038,36027,23693,22652,12249,11606,4049,3940
R,7,2011,6,4074979,2081802,1993177,1533319,1458682,304820,295310,33464,32668,100645,100162,5996,5752,103558,100603,1628084,1550581,358711,348224,56121,54488,138945,136845,13539,13022,1571120,1504585,1091858,1036886,278864,270132,18011,17567,95116,94982,4057,3967,83214,81051,1168350,1111197,323145,313789,32953,31947,127231,125827,9625,9389,510682,488592,441461,421796,25956,25178,15453,15101,5529,5180,1939,1785,20344,19552,459734,439384,35566,34435,23168,22541,11714,11018,3914,3633
R,7,2011,7,4083240,2084356,1998884,1543015,1469618,302405,293499,32607,31950,100544,100997,5783,5489,100002,97331,1634534,1558677,353737,344079,54791,53568,137736,136691,13173,12644,1586871,1519423,1111589,1054452,277577,269355,17897,17306,95169,95950,3997,3764,80642,78596,1185724,1126622,319900,311170,32746,31924,126414,125938,9507,9044,497485,479461,431426,415166,24828,24144,14710,14644,5375,5047,1786,1725,19360,18735,448810,432055,33837,32909,22045,21644,11322,10753,3666,3600
R,7,2011,8,4053206,2067977,1985229,1534364,1462842,300400,292140,32354,31303,99879,100549,5732,5480,95248,92915,1621259,1547774,349074,339684,54168,52703,135037,134733,12970,12272,1580264,1514134,1110847,1053918,276122,268894,17641,17003,94688,95509,3952,3789,77014,75021,1181395,1122802,316388,308197,32345,31468,124294,124198,9351,8914,487713,471095,423517,408924,24278,23246,14713,14300,5191,5040,1780,1691,18234,17894,439864,424972,32686,31487,21823,21235,10743,10535,3619,3358
