UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,4.1,2010,999,308745538,151781326,156964212,119698920,122238141,19205040,21045595,1889695,1849811,7218477,7941039,342904,331721,3426290,3557905,122716053,125351477,20632690,22580483,3054732,3083750,8468047,9208460,667751,664743,126162526,132105418,97017621,100301335,18068911,19853611,1115756,1147502,6969823,7691693,250698,246518,2739717,2864759,99426433,102803203,19202085,21080725,1969560,2072064,8028893,8766145,508278,512076,25618800,24858794,22681299,21936806,1136129,1191984,773939,702309,248654,249346,92206,85203,686573,693146,23289620,22548274,1430605,1499758,1085172,1011686,439154,442315,159473,152667
R,4.1,2010,0,3944153,2014276,1929877,1459844,1393175,303482,295225,32676,31799,93601,88424,5898,5683,118775,115571,1569330,1499469,367544,358178,56900,55613,136820,130005,14296,13808,1498801,1432961,1020590,969875,274837,267650,17374,17035,87546,82645,3885,3701,94569,92055,1108232,1054962,326857,318607,33148,32649,123216,117146,10002,9606,515475,496916,439254,423300,28645,27575,15302,14764,6055,5779,2013,1982,24206,23516,461098,444507,40687,39571,23752,22964,13604,12859,4294,4202
R,4.1,2010,1,3978070,2030853,1947217,1474300,1408397,307825,299570,32861,31716,94373,90015,5979,5869,115515,111650,1580406,1511116,370205,360337,56702,54242,136117,130108,14199,13827,1515521,1451741,1033698,985201,279656,272165,17461,17000,88359,84372,3970,3904,92377,89099,1118939,1067612,330575,321791,33081,31590,123091,117639,10031,9687,515332,495476,440602,423196,28169,27405,15400,14716,6014,5643,2009,1965,23138,22551,461467,443504,39630,38546,23621,22652,13026,12469,4168,4140
R,4.1,2010,2,4096929,2092198,2004731,1521589,1450439,315538,307515,34019,32986,99537,95955,6098,5900,115417,111936,1627502,1553130,377428,368712,57882,56165,141459,135769,14548,13827,1560234,1495048,1065258,1013718,287037,280124,17914,17713,93666,90322,4029,3852,92330,89319,1150400,1096002,337688,330084,33522,32789,128500,123326,10220,9651,531964,509683,456331,436721,28501,27391,16105,15273,5871,5633,2069,2048,23087,22617,477102,457128,39740,38628,24360,23376,12959,12443,4328,4176
R,4.1,2010,3,4119040,2104550,2014490,1537343,1465817,316140,305868,34757,33179,98095,95304,6070,5875,112145,108447,1640332,1565240,375924,364342,58166,55986,139053,134130,14298,13693,1573385,1504599,1081166,1027835,288009,278783,18268,17704,92130,89721,4056,3861,89756,86695,1164001,1107678,336888,326761,33666,32620,126143,121970,10067,9566,531165,509891,456177,437982,28131,27085,16489,15475,5965,5583,2014,2014,22389,21752,476331,457562,39036,37581,24500,23366,12910,12160,4231,4127
R,4.1,2010,4,4063170,2077550,1985620,1528347,1451256,305968,298133,33656,32490,97123,95116,5916,5802,106540,102823,1625997,1545463,362224,352962,56485,54315,136003,132475,13654,13145,1562139,1492445,1083851,1025826,279485,272571,17933,17569,91482,89925,3922,3897,85466,82657,1162507,1101837,325741,317742,32934,31908,123962,121158,9643,9315,515411,493175,444496,425430,26483,25562,15723,14921,5641,5191,1994,1905,21074,20166,463490,443626,36483,35220,23551,22407,12041,11317,4011,3830
R,4.1,2010,5,4056858,2072094,1984764,1528985,1454775,302477,293104,33283,32226,99105,99323,5978,5642,102266,99694,1622561,1545838,355371,345195,55696,54006,137177,135806,13443,12950,1567978,1501923,1092670,1037744,277077,268338,18076,17324,93600,94139,4091,3896,82464,80482,1168505,1111535,320666,311421,33009,31852,125589,124814,9616,9363,504116,482841,436315,417031,25400,24766,15207,14902,5505,5184,1887,1746,19802,19212,454056,434303,34705,33774,22687,22154,11588,10992,3827,3587
R,4.1,2010,6,4066381,2075319,1991062,1539837,1467177,300329,291737,32208,31752,98189,98812,5712,5385,99044,96199,1630490,1555285,351143,341512,54465,53324,134848,134083,13022,12393,1583521,1517485,1113297,1057095,275867,268019,17731,17207,92856,93756,3938,3690,79832,77718,1186675,1128577,317786,309185,32635,31769,123603,123404,9374,8860,491798,473577,426540,410082,24462,23718,14477,14545,5333,5056,1774,1695,19212,18481,443815,426708,33357,32327,21830,21555,11245,10679,3648,3533
R,4.1,2010,7,4030579,2057076,1973503,1528205,1455698,300193,291895,32333,31315,96873,97696,5700,5320,93772,91579,1613682,1539237,348121,338957,53888,52449,131385,131238,12879,12156,1573053,1507167,1107642,1050738,276146,268844,17708,17173,91715,92792,3967,3660,75875,73960,1177108,1118536,315882,307838,32256,31449,120718,120853,9314,8794,484023,466336,420563,404960,24047,23051,14625,14142,5158,4904,1733,1660,17897,17619,436574,420701,32239,31119,21632,21000,10667,10385,3565,3362
R,4.1,2010,8,4046486,2065453,1981033,1535869,1463843,307343,298001,32270,30949,92931,93180,5507,5330,91533,89730,1619375,1545538,354059,344298,54137,52546,126031,125314,12382,12035,1586215,1519806,1118940,1062932,283753,275207,17873,17191,88005,88387,3794,3626,73850,72463,1186560,1129228,322482,313586,32608,31834,115774,115329,9019,8668,479238,461227,416929,400911,23590,22794,14397,13758,4926,4793,1713,1704,17683,17267,432815,416310,31577,30712,21529,20712,10257,9985,3363,3367
R,4.1,2010,9,4148353,2119696,2028657,1572819,1496582,318870,308752,32745,31683,98255,97726,5642,5519,91365,88395,1655960,1576957,365185,354039,54841,53134,131632,129395,12671,12289,1636228,1564510,1151524,1092694,295182,285659,18437,17720,93284,93042,3988,3812,73813,71583,1218864,1158037,333504,323232,33551,32536,121360,119648,9260,8922,483468,464147,421295,403888,23688,23093,14308,13963,4971,4684,1654,1707,17552,16812,437096,418920,31681,30807,21290,20598,10272,9747,3411,3367
R,4.1,2010,10,4172541,2135996,2036545,1588685,1506455,324991,313032,33243,31820,93547,92530,5729,5330,89801,87378,1670448,1585690,370538,358103,55837,53634,125391,123190,12511,12023,1656551,1577996,1170734,1107211,301382,290345,18940,18069,88656,87859,4021,3730,72818,70782,1237295,1171607,339283,327942,34524,33147,115469,113526,9148,8765,479445,458549,417951,399244,23609,22687,14303,13751,4891,4671,1708,1600,16983,16596,433153,414083,31255,30161,21313,20487,9922,9664,3363,3258
R,4.1,2010,11,4114415,2103264,2011151,1571169,1493241,317478,307696,32317,31320,90033,89483,5564,5186,86703,84225,1649828,1569643,360947,350705,54416,53179,120839,118824,12526,11663,1639450,1564952,1166716,1104610,294619,285558,18569,17904,85199,84800,3934,3669,70413,68411,1230862,1166886,330881,321472,33976,33278,111091,109320,9246,8612,463814,446199,404453,388631,22859,22138,13748,13416,4834,4683,1630,1517,16290,15814,418966,402757,30066,29233,20440,19901,9748,9504,3280,3051
R,4.1,2010,12,4106243,2100145,2006098,1566444,1488374,319608,308723,32002,31179,93000,91031,5525,5231,83566,81560,1642174,1562240,361293,349801,53844,52670,122507,119563,12058,11425,1642099,1567189,1165899,1105544,297596,287040,18270,17970,88304,86449,3953,3735,68077,66451,1227797,1165914,332544,321451,33661,33223,113094,110437,8946,8458,458046,438909,400545,382830,22012,21683,13732,13209,4696,4582,1572,1496,15489,15109,414377,396326,28749,28350,20183,19447,9413,9126,3112,2967
R,4.1,2010,13,4118013,2104914,2013099,1575921,1496781,317406,308257,32053,31084,93435,92331,5513,5026,80586,79620,1648951,1568737,356828,347872,53949,52728,121973,120043,11888,11378,1649953,1578230,1178377,1117353,295332,287171,18356,17864,88795,87748,3887,3544,65206,64550,1237736,1175833,328058,320209,33654,33108,112772,111014,8734,8407,454961,434869,397544,379428,22074,21086,13697,13220,4640,4583,1626,1482,15380,15070,411215,392904,28770,27663,20295,19620,9201,9029,3154,2971
R,4.1,2010,14,4165982,2135543,2030439,1599613,1512289,324263,312992,32256,30609,94821,92276,5579,5414,79011,76859,1671030,1581623,362274,350729,54277,52172,122947,119191,11915,11720,1679465,1596067,1200338,1132605,302272,291924,18636,17624,90210,87713,3954,3777,64055,62424,1258419,1189134,333981,323287,34166,32975,113836,110317,8835,8685,456078,434372,399275,379684,21991,21068,13620,12985,4611,4563,1625,1637,14956,14435,412611,392489,28293,27442,20111,19197,9111,8874,3080,3035
R,4.1,2010,15,4242820,2177022,2065798,1623865,1532305,341474,329047,33102,31498,95680,91477,5649,5500,77252,75971,1693235,1600308,378124,366085,55486,53387,123083,118158,12278,11796,1718822,1630153,1222695,1151761,319150,307587,19289,18160,91001,87016,4011,3884,62676,61745,1279089,1207194,349641,338385,35303,33931,114113,109434,9124,8775,458200,435645,401170,380544,22324,21460,13813,13338,4679,4461,1638,1616,14576,14226,414146,393114,28483,27700,20183,19456,8970,8724,3154,3021
R,4.1,2010,16,4316139,2216034,2100105,1647584,1551761,357302,344127,33993,32656,96937,91686,5739,5669,74479,74206,1714122,1617853,391983,379656,56298,54972,123596,117530,12217,12132,1753044,1663435,1241730,1170361,334677,322345,20001,19300,92303,87203,4075,4096,60258,60130,1295662,1224014,363364,351848,36031,35419,114709,108896,9066,9073,462990,436670,405854,381400,22625,21782,13992,13356,4634,4483,1664,1573,14221,14076,418460,393839,28619,27808,20267,19553,8887,8634,3151,3059
R,4.1,2010,17,4395295,2263153,2132142,1680652,1575582,370196,352211,35220,33213,99164,93830,6020,5660,71901,71646,1744630,1639355,402633,385311,57486,55456,125247,119327,12397,11913,1793388,1695022,1268667,1193158,346960,330686,20798,19785,94520,89219,4250,4022,58193,58152,1320544,1245049,373674,357978,36804,35948,116673,110810,9279,8902,469765,437120,411985,382424,23236,21525,14422,13428,4644,4611,1770,1638,13708,13494,424086,394306,28959,27333,20682,19508,8574,8517,3118,3011
