UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2014,999,318857056,156936487,161920569,122195440,124465270,20169931,21988307,1999352,1961619,8253798,9085255,377295,364306,3940671,4055812,125687248,128037938,21878462,23793788,3251100,3281498,9704105,10546145,737625,731551,128918557,134550960,97487098,100383418,18880560,20647665,1158129,1191794,7978219,8808501,275621,270113,3138930,3249469,100265582,103241339,20231811,22084576,2060748,2163984,9206153,10045304,559090,560626,28017930,27369609,24708342,24081852,1289371,1340642,841223,769825,275579,276754,101674,94193,801741,806343,25421666,24796599,1646651,1709212,1190352,1117514,497952,500841,178535,170925
R,7,2014,0,3948350,2017857,1930493,1445151,1380498,307042,296010,32942,31629,103398,98505,6366,6073,122958,117778,1558347,1488905,373448,359927,57413,55113,148747,141671,15219,14518,1501061,1434083,1007465,960125,276905,267055,17114,16457,97104,92392,4222,3994,98251,94060,1098398,1047162,330806,318957,33085,31774,134781,128203,10683,10146,516796,496410,437686,420373,30137,28955,15828,15172,6294,6113,2144,2079,24707,23718,459949,441743,42642,40970,24328,23339,13966,13468,4536,4372
R,7,2014,1,3962123,2023253,1938870,1446588,1382452,308013,299316,32519,31386,107949,102787,6466,6143,121718,116786,1558550,1489823,373273,362544,56839,54831,153228,145676,15283,14515,1504936,1437927,1007070,957805,277694,270006,17055,16405,101677,96603,4309,4030,97131,93078,1096868,1043812,330515,321220,32918,31661,139339,132179,10767,10138,518317,500943,439518,424647,30319,29310,15464,14981,6272,6184,2157,2113,24587,23708,461682,446011,42758,41324,23921,23170,13889,13497,4516,4377
R,7,2014,2,3957772,2022502,1935270,1452508,1385251,306822,297168,33306,32035,103575,99974,6216,5921,120075,114921,1562970,1490925,371370,359312,57623,55339,147824,142009,14859,14169,1503883,1436328,1012707,961817,276970,268577,17031,16458,97384,94047,4097,3885,95694,91544,1101191,1046429,329181,318891,32891,31628,134140,128914,10412,9888,518619,498942,439801,423434,29852,28591,16275,15577,6191,5927,2119,2036,24381,23377,461779,444496,42189,40421,24732,23711,13684,13095,4447,4281
R,7,2014,3,4005190,2048618,1956572,1478926,1407285,308503,299063,32237,31258,102444,98555,6173,5821,120335,114590,1589681,1512662,372985,360817,56886,54865,146659,140346,14902,14041,1516100,1444151,1022728,969127,280010,271133,17308,16498,96387,92787,4092,3814,95575,90792,1111141,1053028,332091,320882,33331,31801,132960,127325,10436,9761,532518,512421,456198,438158,28493,27930,14929,14760,6057,5768,2081,2007,24760,23798,478540,459634,40894,39935,23555,23064,13699,13021,4466,4280
R,7,2014,4,4003448,2043498,1959950,1474044,1407999,306799,297834,32660,31863,104140,100245,6065,5852,119790,116157,1584416,1514801,371122,360766,57164,55918,147954,142246,14602,14055,1515780,1451464,1023252,973560,278063,270200,17117,16981,98105,94556,4060,3882,95183,92285,1111374,1058803,330060,320924,32994,32718,134377,129387,10306,9829,527718,508486,450792,434439,28736,27634,15543,14882,6035,5689,2005,1970,24607,23872,473042,455998,41062,39842,24170,23200,13577,12859,4296,4226
R,7,2014,5,4004858,2043467,1961391,1476238,1410432,309132,301175,32752,31781,102767,99296,6049,6014,116529,112693,1583244,1514073,371817,362484,56701,54527,145207,139886,14318,14027,1522310,1459620,1030812,981747,280505,273432,17352,16950,96703,93604,4029,4026,92909,89861,1116539,1064798,331451,323306,32951,31679,131956,127409,10102,9906,521157,501771,445426,428685,28627,27743,15400,14831,6064,5692,2020,1988,23620,22832,466705,449275,40366,39178,23750,22848,13251,12477,4216,4121
R,7,2014,6,4134352,2110328,2024024,1527119,1457198,319098,311278,34080,32911,106987,103333,6268,6020,116776,113284,1634254,1561126,381798,373157,57986,56111,149526,143891,14812,13960,1571149,1507041,1064477,1014444,289953,283102,17996,17582,101074,97603,4216,3970,93433,90340,1150570,1097662,341200,333529,33644,32597,136531,131300,10477,9810,539179,516983,462642,442754,29145,28176,16084,15329,5913,5730,2052,2050,23343,22944,483684,463464,40598,39628,24342,23514,12995,12591,4335,4150
R,7,2014,7,4154000,2122240,2031760,1542308,1471123,319984,309759,34653,33150,105928,101677,6202,6107,113165,109944,1646161,1571805,380503,369110,58227,56134,147163,141176,14472,14098,1583343,1514017,1079487,1026151,291291,282270,18035,17716,99911,96054,4181,4068,90438,87758,1162885,1106843,340641,330786,33505,32659,134162,128939,10269,9925,538897,517743,462821,444972,28693,27489,16618,15434,6017,5623,2021,2039,22727,22186,483276,464962,39862,38324,24722,23475,13001,12237,4203,4173
R,7,2014,8,4119524,2105122,2014402,1540422,1465551,311037,303781,33936,32707,105108,102018,6062,5876,108557,104469,1639979,1561332,368240,359398,57022,54789,145025,139970,13972,13440,1577769,1507906,1085457,1028918,283795,277225,18040,17545,99327,96681,4063,3947,87087,83590,1165641,1105864,330710,322821,33200,31976,132748,128315,9915,9487,527353,506496,454965,436633,27242,26556,15896,15162,5781,5337,1999,1929,21470,20879,474338,455468,37530,36577,23822,22813,12277,11655,4057,3953
R,7,2014,9,4106832,2097272,2009560,1539987,1466434,307522,298276,33540,32759,106211,105149,6057,5876,103955,101066,1635081,1558728,361573,351389,56253,54648,144746,142085,13632,13182,1581083,1514358,1093761,1038761,281112,272742,17999,17567,100653,99910,4110,4082,83448,81296,1170427,1113257,325425,316439,32950,31946,132992,130990,9709,9537,516189,495202,446226,427673,26410,25534,15541,15192,5558,5239,1947,1794,20507,19770,464654,445471,36148,34950,23303,22702,11754,11095,3923,3645
R,7,2014,10,4115254,2099874,2015380,1549458,1477396,305236,296587,32673,32035,106243,105977,5863,5598,100401,97787,1641307,1566844,356726,347364,54908,53739,143678,141902,13284,12785,1596957,1529104,1113420,1056108,279869,272099,17884,17317,100836,100876,4062,3869,80886,78835,1187737,1128460,322227,313952,32740,31953,132317,131079,9603,9180,502917,486276,436038,421288,25367,24488,14789,14718,5407,5101,1801,1729,19515,18952,453570,438384,34499,33412,22168,21786,11361,10823,3681,3605
R,7,2014,11,4085636,2083687,2001949,1540682,1470693,303403,295406,32398,31402,105736,105550,5826,5576,95642,93322,1627911,1555977,352226,343125,54256,52865,141134,139948,13101,12396,1590616,1523797,1112651,1055464,278536,271734,17627,17016,100517,100474,4029,3882,77256,75227,1183384,1124507,318830,311067,32332,31482,130360,129360,9464,9034,493071,478152,428031,415229,24867,23672,14771,14386,5219,5076,1797,1694,18386,18095,444527,431470,33396,32058,21924,21383,10774,10588,3637,3362
R,7,2014,12,4068790,2075243,1993547,1535309,1465594,308770,300381,32281,31136,101366,100555,5673,5444,91844,90437,1619062,1547850,355560,347064,53873,52711,134988,133076,12605,12215,1588621,1522379,1112138,1056012,284356,276744,17799,17149,96358,95750,3965,3769,74005,72955,1179879,1122678,323012,315296,32271,31740,124552,123033,9207,8876,486622,471168,423171,409582,24414,23637,14482,13987,5008,4805,1708,1675,17839,17482,439183,425172,32548,31768,21602,20971,10436,10043,3398,3339
R,7,2014,13,4169346,2128187,2041159,1572434,1500215,320099,310790,32491,31633,105166,103505,5684,5602,92313,89414,1656366,1581625,366973,356581,54685,53077,138894,135740,12724,12437,1638007,1567183,1145605,1087431,295584,287315,18221,17619,100202,98778,4019,3865,74376,72175,1213399,1153388,334206,325210,33345,32231,128579,125908,9303,9016,490180,473976,426829,412784,24515,23475,14270,14014,4964,4727,1665,1737,17937,17239,442967,428237,32767,31371,21340,20846,10315,9832,3421,3421
R,7,2014,14,4232480,2164228,2068252,1600801,1520858,330112,319397,33474,32155,103184,101739,5890,5525,90767,88578,1683449,1601122,376068,365052,56158,54153,135590,133094,12771,12282,1672386,1595612,1172112,1109329,305616,295750,18960,18062,98215,96995,4168,3915,73315,71561,1239068,1174390,343591,333504,34468,33222,125573,123308,9392,9015,491842,472640,428689,411529,24496,23647,14514,14093,4969,4744,1722,1610,17452,17017,444381,426732,32477,31548,21690,20931,10017,9786,3379,3267
R,7,2014,15,4163723,2128424,2035299,1580711,1503554,322170,312100,32386,31460,99272,97427,5758,5302,88127,85456,1660768,1580992,366465,355701,54672,53383,130709,127428,12791,11877,1652554,1576699,1165838,1104070,298369,289208,18505,17849,94371,92684,4062,3769,71409,69119,1230931,1166880,335128,325486,34033,33128,120817,117744,9417,8771,475870,458600,414873,399484,23801,22892,13881,13611,4901,4743,1696,1533,16718,16337,429837,414112,31337,30215,20639,20255,9892,9684,3374,3106
R,7,2014,16,4167234,2130938,2036296,1581778,1502488,324516,314227,32425,31523,101414,99751,5740,5342,85065,82965,1658825,1577754,366981,356112,54490,53124,131483,128732,12364,11659,1658721,1584289,1169341,1108175,301173,291820,18466,18070,96657,95038,4141,3794,68943,67392,1231977,1169525,336507,326698,33838,33292,121953,119415,9227,8617,472217,452007,412437,394313,23343,22407,13959,13453,4757,4713,1599,1548,16122,15573,426848,408229,30474,29414,20652,19832,9530,9317,3137,3042
R,7,2014,17,4184706,2138809,2045897,1589433,1511239,324567,314925,32345,31089,104371,102433,5672,5255,82421,80956,1664090,1584334,364956,355235,54413,52942,133752,130768,12177,11645,1666596,1596755,1176905,1119042,301282,292977,18334,17747,99599,97787,4061,3765,66415,65437,1237286,1178236,334561,326398,33691,33085,124270,121597,9018,8654,472213,449142,412528,392197,23285,21948,14011,13342,4772,4646,1611,1490,16006,15519,426804,406098,30395,28837,20722,19857,9482,9171,3159,2991
