UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2010,999,309347057,152089484,157257573,119859618,122383967,19260298,21096411,1896150,1856363,7273652,8001570,344647,333410,3455119,3585852,122903486,125523203,20703661,22646396,3066183,3095373,8534271,9279576,671466,668296,126337368,132254098,97065113,100322191,18116415,19896818,1118321,1150276,7023545,7750776,251963,247747,2762011,2886290,99494685,102844079,19261771,21135650,1974960,2077700,8091860,8834080,510948,514669,25752116,25003475,22794505,22061776,1143883,1199593,777829,706087,250107,250794,92684,85663,693108,699562,23408801,22679124,1441890,1510746,1091223,1017673,442411,445496,160518,153627
R,7,2010,0,3951330,2018420,1932910,1463410,1397066,303520,294582,32555,31707,93942,88527,5884,5652,119109,115376,1573227,1503217,367663,357290,56971,55654,137269,130001,14357,13778,1498956,1432624,1019922,969876,275265,267392,17171,17013,87943,82866,3898,3704,94757,91773,1107739,1054732,327254,318075,33051,32736,123739,117188,10078,9575,519464,500286,443488,427190,28255,27190,15384,14694,5999,5661,1986,1948,24352,23603,465488,448485,40409,39215,23920,22918,13530,12813,4279,4203
R,7,2010,1,3957888,2020332,1937556,1466003,1400005,305720,297736,32673,31672,94076,90252,5908,5837,115952,112054,1572533,1503105,368227,358830,56550,54332,136117,130433,14128,13798,1506819,1443461,1027401,978161,277560,270425,17381,16962,88043,84578,3888,3865,92546,89470,1112862,1060914,328484,320256,32983,31691,122903,117989,9910,9695,513513,494095,438602,421844,28160,27311,15292,14710,6033,5674,2020,1972,23406,22584,459671,442191,39743,38574,23567,22641,13214,12444,4218,4103
R,7,2010,2,4090862,2088685,2002177,1517195,1446928,315756,307751,34027,32815,99354,96131,6128,5869,116225,112683,1623874,1550356,378278,369412,57872,55914,141522,136336,14619,13760,1557086,1492986,1061392,1011130,287059,280052,18024,17586,93467,90408,4072,3835,93072,89975,1147213,1094075,338269,330425,33671,32585,128556,123764,10279,9626,531599,509191,455803,435798,28697,27699,16003,15229,5887,5723,2056,2034,23153,22708,476661,456281,40009,38987,24201,23329,12966,12572,4340,4134
R,7,2010,3,4111920,2101272,2010648,1532555,1460923,316613,306099,34585,33050,98813,95246,6088,5956,112618,109374,1635964,1561116,376938,365238,58095,55945,139687,134422,14304,13897,1569994,1500904,1076617,1023074,288368,279110,18058,17719,92819,89644,4069,3934,90063,87423,1159740,1103505,337666,327580,33513,32650,126711,122221,10100,9741,531278,509744,455938,437849,28245,26989,16527,15331,5994,5602,2019,2022,22555,21951,476224,457611,39272,37658,24582,23295,12976,12201,4204,4156
R,7,2010,4,4077552,2084312,1993240,1530827,1455342,307596,299990,33849,32591,98036,95733,5977,5720,108027,103864,1629943,1550603,364612,355353,56865,54578,137620,133367,13839,13231,1564673,1495133,1082753,1026127,280854,273955,18061,17549,92281,90435,3982,3810,86742,83257,1162673,1102815,327720,319500,33211,31974,125375,121765,9788,9300,519639,498107,448074,429215,26742,26035,15788,15042,5755,5298,1995,1910,21285,20607,467270,447788,36892,35853,23654,22604,12245,11602,4051,3931
R,7,2010,5,4064653,2076573,1988080,1530746,1456107,303997,294409,33448,32642,98995,98726,5966,5724,103421,100472,1625400,1547893,357850,347272,56093,54441,137193,135337,13496,12984,1568006,1501616,1091222,1036226,278153,269364,18017,17566,93474,93549,4029,3940,83111,80971,1167637,1110475,322421,313008,32957,31942,125488,124321,9584,9351,508567,486464,439524,419881,25844,25045,15431,15076,5521,5177,1937,1784,20310,19501,457763,437418,35429,34264,23136,22499,11705,11016,3912,3633
R,7,2010,6,4073013,2079410,1993603,1540699,1467009,301623,292591,32587,31916,98871,99454,5765,5444,99865,97189,1632103,1555947,352896,343115,54752,53516,135987,135065,13143,12587,1583855,1516351,1111003,1053813,276906,268579,17901,17310,93503,94416,3984,3723,80558,78510,1185074,1125916,319214,310381,32746,31926,124675,124324,9481,8991,495555,477252,429696,413196,24717,24012,14686,14606,5368,5038,1781,1721,19307,18679,447029,430031,33682,32734,22006,21590,11312,10741,3662,3596
R,7,2010,7,4043047,2063139,1979908,1532263,1460241,299550,291235,32326,31272,98143,98973,5722,5438,95135,92749,1619063,1545029,348174,338701,54119,52643,133243,133079,12952,12218,1577267,1511154,1110324,1053392,275435,268109,17644,17006,92961,93955,3943,3750,76960,74942,1180833,1122216,315697,307397,32346,31469,122512,122572,9334,8864,485872,468754,421939,406849,24115,23126,14682,14266,5182,5018,1779,1688,18175,17807,438230,422813,32477,31304,21773,21174,10731,10507,3618,3354
R,7,2010,8,4025604,2054462,1971142,1526974,1454999,304754,296008,32235,30978,93630,93949,5544,5308,91325,89900,1610294,1536802,351310,342455,53753,52456,126969,126198,12436,12039,1574949,1509687,1109807,1054070,281092,272988,17819,17135,88655,89186,3859,3640,73717,72668,1177338,1120526,319699,311487,32281,31712,116577,116209,9061,8708,479513,461455,417167,400929,23662,23020,14416,13843,4975,4763,1685,1668,17608,17232,432956,416276,31611,30968,21472,20744,10392,9989,3375,3331
