UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2013,999,315401356,155191443,160209913,121391340,123728918,19840824,21661824,1961345,1922911,7874682,8664644,364904,352472,3758348,3879144,124715052,127138651,21449793,23371186,3182875,3213015,9253333,10056345,712610,707499,128009878,133705892,97387052,100383328,18606093,20374007,1144079,1176795,7608696,8397717,266609,261500,2997349,3112545,100034532,103114553,19880071,21736265,2029894,2132572,8776232,9576299,540847,543077,27181565,26504021,24004288,23345590,1234731,1287817,817266,746116,265986,266927,98295,90972,760999,766599,24680520,24024098,1569722,1634921,1152981,1080443,477101,480046,171763,164422
R,1,2013,0,3943233,2015224,1928009,1446169,1380136,305715,296747,32853,31614,103100,97313,6333,6046,121054,116153,1557552,1486963,370641,359620,57152,55010,148006,139891,15092,14393,1501336,1432239,1010807,960173,275730,267824,17075,16468,96872,91174,4210,3951,96642,92649,1100193,1045833,328329,318811,32952,31735,134203,126472,10614,10032,513888,495770,435362,419963,29985,28923,15778,15146,6228,6139,2123,2095,24412,23504,457359,441130,42312,40809,24200,23275,13803,13419,4478,4361
R,1,2013,1,3958887,2024791,1934096,1461349,1391417,306046,296724,32933,31801,98468,94152,6125,5804,119870,114198,1571681,1496452,370597,358414,57361,55121,142383,135866,14762,13998,1502855,1432577,1017373,965029,276550,268351,17205,16411,92313,88264,4002,3751,95412,90771,1105669,1048957,328787,318223,33141,31567,128648,122768,10279,9683,521936,501519,443976,426388,29496,28373,15728,15390,6155,5888,2123,2053,24458,23427,466012,447495,41810,40191,24220,23554,13735,13098,4483,4315
R,1,2013,2,4027142,2058021,1969121,1489297,1420532,309769,300240,32219,31354,99630,95632,6098,5674,121008,115689,1600760,1527001,374639,362747,57146,55430,143859,137420,14801,13860,1522348,1453451,1029715,978297,281738,272683,17239,16917,93581,90039,4042,3773,96033,91742,1118602,1063105,334083,323055,33401,32572,130179,124660,10378,9739,535673,515670,459582,442235,28031,27557,14980,14437,6049,5593,2056,1901,24975,23947,482158,463896,40556,39692,23745,22858,13680,12760,4423,4121
R,1,2013,3,3962929,2022341,1940588,1460791,1395269,304486,296181,32813,31795,100441,96956,6025,5858,117785,114529,1569201,1500531,367862,358510,56753,55132,143609,138356,14353,13991,1505548,1442479,1019868,970628,276010,268575,17411,16952,94433,91173,4024,3872,93802,91279,1106682,1054923,327458,319106,32995,32234,130147,125546,10119,9812,516793,498109,440923,424641,28476,27606,15402,14843,6008,5783,2001,1986,23983,23250,462519,445608,40404,39404,23758,22898,13462,12810,4234,4179
R,1,2013,4,4072192,2078843,1993349,1504789,1435807,315826,307199,33335,32055,101869,98691,6145,6040,116879,113557,1612142,1540153,378814,369179,57216,55079,144186,139302,14589,14059,1550370,1485904,1052393,1001597,286737,279437,17703,17219,95865,92958,4105,4024,93567,90669,1138653,1085363,338228,330067,33363,32103,131149,126722,10301,9852,528473,507445,452396,434210,29089,27762,15632,14836,6004,5733,2040,2016,23312,22888,473489,454790,40586,39112,23853,22976,13037,12580,4288,4207
R,1,2013,5,4123037,2105247,2017790,1529423,1459281,316533,308138,34096,33253,104444,100313,6199,6008,114552,110797,1634517,1560862,377956,368331,57927,56243,146069,140048,14537,13921,1569786,1503399,1069883,1018009,287879,280581,17865,17775,98487,94769,4146,3970,91526,88295,1154280,1099266,337989,329581,33446,32716,133082,127752,10307,9764,535461,514391,459540,441272,28654,27557,16231,15478,5957,5544,2053,2038,23026,22502,480237,461596,39967,38750,24481,23527,12987,12296,4230,4157
R,1,2013,6,4122002,2106509,2015493,1536976,1465472,315414,305358,34444,32738,102489,98776,6026,5866,111160,107283,1638931,1563834,374340,362998,57816,55298,143275,137278,14192,13623,1575741,1505525,1080282,1026884,287670,278311,18095,17471,96582,93244,4066,3875,89046,85740,1162327,1105816,335912,325616,33420,32193,130574,125269,10051,9553,530768,509968,456694,438588,27744,27047,16349,15267,5907,5532,1960,1991,22114,21543,476604,458018,38428,37382,24396,23105,12701,12009,4141,4070
R,1,2013,7,4089502,2090441,1999061,1536271,1458819,306543,298790,33723,32832,102158,100629,6018,5923,105728,102068,1633109,1552221,361909,352775,56509,54652,141138,138023,13706,13248,1571582,1502755,1088260,1030515,280005,273080,17991,17688,96609,95431,3991,4012,84726,82029,1166189,1105834,325435,317454,32938,31989,129251,126800,9649,9459,518859,496306,448011,428304,26538,25710,15732,15144,5549,5198,2027,1911,21002,20039,466920,446387,36474,35321,23571,22663,11887,11223,4057,3789
R,1,2013,8,4091920,2088538,2003382,1538971,1466769,304802,295684,33194,32071,103824,103703,5966,5676,101781,99479,1632091,1557660,357485,347623,55531,53902,141633,140110,13424,12930,1582191,1516366,1100335,1045604,279224,270905,18083,17187,98292,98498,4129,3945,82128,80227,1175839,1119158,322564,313761,33031,31773,130065,129168,9669,9347,506347,487016,438636,421165,25578,24779,15111,14884,5532,5205,1837,1731,19653,19252,456252,438502,34921,33862,22500,22129,11568,10942,3755,3583
R,1,2013,9,4081422,2082278,1999144,1542057,1470111,301846,293298,32113,31668,102579,103116,5740,5441,97943,95510,1631591,1557460,351933,342537,54221,53198,138905,138284,13043,12480,1588500,1521821,1113648,1056450,277105,269431,17587,17131,97305,98018,3962,3775,78893,77016,1186049,1127194,318395,310069,32365,31663,127838,127469,9421,9025,493778,477323,428409,413661,24741,23867,14526,14537,5274,5098,1778,1666,19050,18494,445542,430266,33538,32468,21856,21535,11067,10815,3622,3455
R,1,2013,10,4067567,2074564,1993003,1536420,1466173,304734,297102,32519,31491,101472,101371,5749,5487,93670,91379,1621800,1549442,352422,344047,54267,52800,135986,134674,12912,12279,1586162,1520654,1112043,1055558,280325,273799,17816,17268,96260,96532,4015,3794,75703,73703,1181294,1123046,319803,312561,32463,31629,125274,124484,9407,8888,488402,472349,424377,410615,24409,23303,14703,14223,5212,4839,1734,1693,17967,17676,440506,426396,32619,31486,21804,21171,10712,10190,3505,3391
