UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2015,999,321191461,158106095,163085366,122729587,124972618,20389444,22205180,2024576,1987486,8507371,9367709,385547,372269,4069570,4180104,126340597,128660215,22169649,24079184,3297209,3327676,10007367,10876749,754610,747978,129519467,135131802,97542653,100394516,19063072,20828980,1167204,1201690,8225295,9084377,281592,275944,3239651,3346295,100414639,103342303,20470532,22319559,2081532,2185071,9495073,10361722,571425,572637,28586628,27953564,25186934,24578102,1326372,1376200,857372,785796,282076,283332,103955,96325,829919,833809,25925958,25317912,1699117,1759625,1215677,1142605,512294,515027,183185,175341
R,7,2015,0,3948850,2018125,1930725,1438023,1375117,307626,294440,32986,31591,104824,100823,6422,6124,128244,122630,1556346,1488256,378056,361807,57781,55305,151522,145458,15486,14789,1496533,1432013,996673,953166,277252,265379,17101,16393,98447,94725,4263,4067,102797,98283,1092044,1044341,334721,320343,33240,31830,137232,131797,10857,10373,521592,498712,441350,421951,30374,29061,15885,15198,6377,6098,2159,2057,25447,24347,464302,443915,43335,41464,24541,23475,14290,13661,4629,4416
R,7,2015,1,3964954,2025622,1939332,1448267,1383692,307868,296841,32999,31698,106820,102903,6440,6143,123228,118055,1561688,1492331,374334,360834,57509,55217,152368,146257,15315,14612,1506211,1440449,1008292,961186,277603,267765,17090,16443,100518,96776,4275,4046,98433,94233,1099364,1048355,331506,319669,33068,31762,138391,132770,10761,10222,519411,498883,439975,422506,30265,29076,15909,15255,6302,6127,2165,2097,24795,23822,462324,443976,42828,41165,24441,23455,13977,13487,4554,4390
R,7,2015,2,3976847,2030421,1946426,1449551,1385206,308989,300267,32560,31438,110904,106316,6504,6191,121913,117008,1561671,1492757,374298,363556,56906,54911,156324,149361,15343,14584,1510035,1443545,1008214,958857,278536,270851,17051,16399,104621,100122,4345,4075,97268,93241,1098114,1044985,331369,322088,32915,31662,142422,135853,10824,10203,520386,502881,441337,426349,30453,29416,15509,15039,6283,6194,2159,2116,24645,23767,463557,447772,42929,41468,23991,23249,13902,13508,4519,4381
R,7,2015,3,3970304,2028618,1941686,1455131,1387953,307705,298036,33317,32065,105984,102557,6261,5973,120220,115102,1565713,1493776,372306,360229,57654,55396,150323,144717,14916,14239,1508136,1440815,1013683,962800,277726,269330,17023,16453,99782,96624,4141,3937,95781,91671,1102231,1047507,329946,319657,32884,31628,136627,131611,10468,9958,520482,500871,441448,425153,29979,28706,16294,15612,6202,5933,2120,2036,24439,23431,463482,446269,42360,40572,24770,23768,13696,13106,4448,4281
R,7,2015,4,4016228,2054039,1962189,1481347,1409939,309345,299920,32253,31275,104413,100456,6210,5867,120471,114732,1592212,1515438,373876,361730,56927,54900,148708,142329,14953,14101,1519720,1447893,1023546,970090,280745,271884,17302,16498,98348,94685,4130,3855,95649,90881,1112008,1054059,332831,321650,33329,31803,135000,129303,10491,9817,534319,514296,457801,439849,28600,28036,14951,14777,6065,5771,2080,2012,24822,23851,480204,461379,41045,40080,23598,23097,13708,13026,4462,4284
R,7,2015,5,4014273,2049019,1965254,1476632,1410580,307722,298796,32678,31885,105964,101803,6097,5885,119926,116305,1587115,1517513,372086,361792,57193,55964,149876,143875,14647,14099,1519342,1454832,1024066,974430,278867,271038,17111,16984,99922,96117,4094,3907,95282,92356,1112264,1059729,330875,321774,32986,32722,136294,131015,10354,9864,529677,510422,452566,436150,28855,27758,15567,14901,6042,5686,2003,1978,24644,23949,474851,457784,41211,40018,24207,23242,13582,12860,4293,4235
R,7,2015,6,4015828,2049083,1966745,1478928,1413015,310043,302167,32768,31810,104578,100865,6081,6046,116685,112842,1586062,1516776,372779,363529,56733,54583,147127,141545,14365,14072,1525841,1462943,1031596,982525,281301,274286,17346,16950,98509,95170,4060,4054,93029,89958,1117420,1065647,332266,324174,32953,31688,133872,129063,10146,9947,523242,503802,447332,430490,28742,27881,15422,14860,6069,5695,2021,1992,23656,22884,468642,451129,40513,39355,23780,22895,13255,12482,4219,4125
R,7,2015,7,4145269,2115652,2029617,1529573,1459839,319951,312287,34105,32947,108822,105036,6286,6069,116915,113439,1636822,1563899,382707,374221,58031,56169,151442,145687,14840,14023,1574518,1510513,1065180,1015207,290690,283973,17992,17581,102901,99293,4233,4015,93522,90444,1151339,1098507,341956,334418,33644,32601,138436,133081,10505,9870,541134,519104,464393,444632,29261,28314,16113,15366,5921,5743,2053,2054,23393,22995,485483,465392,40751,39803,24387,23568,13006,12606,4335,4153
R,7,2015,8,4164915,2127525,2037390,1544610,1473769,320896,310760,34680,33181,107840,103398,6216,6150,113283,110132,1648560,1574613,381462,370194,58273,56193,149139,142993,14499,14157,1586724,1517381,1080152,1026798,292045,283144,18031,17715,101810,97755,4191,4110,90495,87859,1163591,1107567,341397,331678,33502,32662,136120,130731,10288,9983,540801,520009,464458,446971,28851,27616,16649,15466,6030,5643,2025,2040,22788,22273,484969,467046,40065,38516,24771,23531,13019,12262,4211,4174
R,7,2015,9,4130537,2110529,2020008,1542677,1468209,312032,304827,33963,32731,107073,103724,6088,5913,108696,104604,1642353,1564109,369286,360508,57061,54831,147081,141745,14009,13486,1581288,1511200,1086103,1029483,284606,278168,18037,17548,101281,98364,4088,3982,87173,83655,1166354,1106480,331531,323776,33194,31974,134788,130060,9951,9533,529241,508808,456574,438726,27426,26659,15926,15183,5792,5360,2000,1931,21523,20949,475999,457629,37755,36732,23867,22857,12293,11685,4058,3953
R,7,2015,10,4117962,2102727,2015235,1542273,1469114,308506,299388,33555,32789,108197,106845,6099,5906,104097,101193,1637481,1561515,362610,352553,56285,54706,146825,143844,13686,13220,1584625,1517691,1094414,1039314,281899,273733,17994,17575,102631,101594,4142,4113,83545,81362,1171149,1113859,326229,317439,32950,31962,135062,132734,9754,9575,518102,497544,447859,429800,26607,25655,15561,15214,5566,5251,1957,1793,20552,19831,466332,447656,36381,35114,23335,22744,11763,11110,3932,3645
R,7,2015,11,4126691,2105458,2021233,1551712,1480110,306334,297770,32681,32085,108306,107701,5895,5631,100530,97936,1643670,1569687,357874,348607,54935,53809,145815,143708,13326,12830,1600644,1532450,1114068,1056633,280758,273079,17876,17321,102890,102597,4087,3900,80965,78920,1188445,1129052,323124,314946,32735,31958,134446,132877,9639,9221,504814,488783,437644,423477,25576,24691,14805,14764,5416,5104,1808,1731,19565,19016,455225,440635,34750,33661,22200,21851,11369,10831,3687,3609
R,7,2015,12,4097309,2089342,2007967,1542998,1473485,304519,296640,32418,31457,107785,107315,5860,5611,95762,93459,1630331,1558886,353416,344417,54298,52945,143226,141779,13140,12442,1594327,1527223,1113313,1055985,279471,272769,17625,17016,102562,102230,4059,3915,77297,75308,1184074,1125089,319775,312118,32332,31490,132442,131182,9499,9078,495015,480744,429685,417500,25048,23871,14793,14441,5223,5085,1801,1696,18465,18151,446257,433797,33641,32299,21966,21455,10784,10597,3641,3364
R,7,2015,13,4080712,2081133,1999579,1537925,1468331,309847,301619,32311,31184,103368,102401,5705,5485,91977,90559,1621795,1550690,356703,348354,53928,52779,137045,134989,12647,12263,1592212,1525934,1112778,1056538,285235,277841,17797,17153,98359,97575,3994,3809,74049,73018,1180550,1123251,323893,316401,32266,31746,126599,124920,9245,8923,488921,473645,425147,411793,24612,23778,14514,14031,5009,4826,1711,1676,17928,17541,441245,427439,32810,31953,21662,21033,10446,10069,3402,3340
R,7,2015,14,4182076,2134574,2047502,1575380,1503059,321219,312061,32522,31671,107256,105476,5712,5638,92485,89597,1659460,1584632,368164,357930,54747,53145,141072,137799,12762,12488,1641611,1570923,1146114,1087966,296484,288443,18222,17618,102279,100733,4046,3900,74466,72263,1213975,1153993,335120,326348,33351,32231,130740,127946,9340,9065,492963,476579,429266,415093,24735,23618,14300,14053,4977,4743,1666,1738,18019,17334,445485,430639,33044,31582,21396,20914,10332,9853,3422,3423
R,7,2015,15,4246651,2171372,2075279,1604139,1524124,331327,320670,33519,32190,105479,103928,5928,5547,90980,88820,1686974,1604593,377367,366420,56235,54240,138001,135411,12826,12318,1676179,1599764,1172529,1110027,306574,296867,18962,18064,100485,99171,4208,3935,73421,71700,1239569,1175194,344562,334648,34468,33239,127945,125603,9448,9049,495193,475515,431610,414097,24753,23803,14557,14126,4994,4757,1720,1612,17559,17120,447405,429399,32805,31772,21767,21001,10056,9808,3378,3269
R,7,2015,16,4181203,2137719,2043484,1585274,1507303,323632,313542,32466,31503,102089,100094,5819,5330,88439,85712,1665601,1584961,368058,357230,54814,53473,133685,130240,12870,11926,1657328,1581742,1166440,1105004,299531,290483,18512,17846,97149,95339,4123,3796,71573,69274,1231660,1167939,336316,326784,34053,33134,123745,120535,9494,8818,480391,461742,418834,402299,24101,23059,13954,13657,4940,4755,1696,1534,16866,16438,433941,417022,31742,30446,20761,20339,9940,9705,3376,3108
R,7,2015,17,4190353,2143495,2046858,1588223,1507276,326229,315970,32554,31592,105155,103405,5813,5404,85521,83211,1665658,1582752,368856,357950,54703,53243,135482,132517,12472,11738,1665176,1590858,1170397,1109390,302519,293362,18472,18066,100365,98652,4206,3855,69217,67533,1233245,1170848,337900,328270,33865,33300,125900,123149,9326,8695,478319,456000,417826,397886,23710,22608,14082,13526,4790,4753,1607,1549,16304,15678,432413,411904,30956,29680,20838,19943,9582,9368,3146,3043
R,7,2015,18,4212990,2153926,2059064,1597035,1517109,326237,316814,32472,31152,109488,107416,5761,5344,82933,81229,1672123,1590441,366794,357226,54626,53060,139179,135896,12307,11755,1674542,1604975,1178116,1120447,302561,294638,18320,17745,104670,102716,4136,3850,66739,65579,1238749,1179750,335888,328078,33695,33092,129633,126656,9131,8759,479384,454089,418919,396662,23676,22176,14152,13407,4818,4700,1625,1494,16194,15650,433374,410691,30906,29148,20931,19968,9546,9240,3176,2996
R,7,2015,19,4255581,2180605,2074976,1618982,1529319,327204,318557,32675,30961,114404,111695,5924,5564,81416,78880,1692563,1600492,366339,357167,55000,52833,143747,139688,12406,11913,1698684,1620680,1196887,1131838,303822,296523,18484,17663,109651,106978,4274,3992,65566,63686,1256298,1189450,336029,328361,33987,33015,134410,130543,9278,8941,481921,454296,422095,397481,23382,22034,14191,13298,4753,4717,1650,1572,15850,15194,436265,411042,30310,28806,21013,19818,9337,9145,3128,2972
R,7,2015,20,4355754,2235468,2120286,1652815,1556965,345836,334129,33453,31731,117565,114134,6040,5854,79759,77473,1724403,1626336,383659,371928,56056,53727,146346,141522,12740,12299,1744432,1660539,1222384,1154727,321781,311419,19055,18172,112626,109478,4361,4202,64225,62541,1280078,1210849,352772,342483,34977,33835,137045,132542,9539,9231,491036,459747,430431,402238,24055,22710,14398,13559,4939,4656,1679,1652,15534,14932,444325,415487,30887,29445,21079,19892,9301,8980,3201,3068
R,7,2015,21,4448292,2283928,2164364,1680657,1580594,362620,350481,34239,32637,122811,118148,6203,6065,77398,76439,1749799,1648756,398450,386986,56992,55231,150981,145178,12946,12590,1786605,1701211,1243824,1175333,338325,327408,19769,18910,118059,113448,4539,4426,62089,61686,1299317,1230403,367563,357430,35846,35097,141847,136240,9768,9488,497323,463153,436833,405261,24295,23073,14470,13727,4752,4700,1664,1639,15309,14753,450482,418353,30887,29556,21146,20134,9134,8938,3178,3102
R,7,2015,22,4519979,2324757,2195222,1705666,1599540,374758,359348,35597,33366,127658,123312,6479,6136,74599,73520,1772039,1664862,408485,393606,58254,55964,155044,149516,13059,12554,1823204,1732746,1265382,1194547,349868,336296,20523,19627,122899,118601,4697,4483,59835,59192,1318658,1247198,377229,364224,36530,35804,146222,140818,9882,9496,501553,462476,440284,404993,24890,23052,15074,13739,4759,4711,1782,1653,14764,14328,453381,417664,31256,29382,21724,20160,8822,8698,3177,3058
R,7,2015,23,4642470,2380883,2261587,1747717,1646510,380759,368986,37083,34156,135591,132382,6823,6364,72910,73189,1812145,1711078,412429,402108,60025,56699,162858,159468,13516,13039,1871877,1792301,1301438,1236510,355501,344697,21381,20263,130635,127462,4888,4654,58034,58715,1352696,1288379,380761,371435,37590,36388,153822,150418,10153,9799,509006,469286,446279,410000,25258,24289,15702,13893,4956,4920,1935,1710,14876,14474,459449,422699,31668,30673,22435,20311,9036,9050,3363,3240
R,7,2015,24,4727943,2411672,2316271,1770796,1683503,381747,376198,37120,33775,145197,144418,7471,6806,69341,71571,1831250,1745979,411055,408401,58996,55726,172261,171740,14381,13695,1907689,1852969,1330650,1280526,355712,351120,21219,20075,139890,139118,5453,5021,54765,57109,1378246,1330313,378790,376895,36506,35609,162922,162248,10874,10483,503983,463302,440146,402977,26035,25078,15901,13700,5307,5300,2018,1785,14576,14462,453004,415666,32265,31506,22490,20117,9339,9492,3507,3212
R,7,2015,25,4721216,2402211,2319005,1770689,1686614,372827,372720,36391,32947,149939,151992,7732,7045,64633,67687,1827119,1745784,399410,402497,56898,54079,175610,177842,14186,13512,1903593,1864358,1334719,1291100,347345,347676,20482,19667,144596,146894,5566,5233,50885,53788,1379013,1338011,368100,371226,34799,34545,166421,168920,10623,10350,498618,454647,435970,395514,25482,25044,15909,13280,5343,5098,2166,1812,13748,13899,448106,407773,31310,31271,22099,19534,9189,8922,3563,3162
R,7,2015,26,4536838,2306322,2230516,1707347,1622368,346651,350751,34710,31101,150578,156801,7427,6710,59609,62785,1759339,1677058,370673,377857,54075,50687,174137,181320,13438,12858,1831438,1800840,1291982,1248259,322663,327046,19283,18499,145556,151816,5402,5031,46552,50189,1332483,1291832,341069,348574,32590,32422,165604,172851,10186,9925,474884,429676,415365,374109,23988,23705,15427,12602,5022,4985,2025,1679,13057,12596,426856,385226,29604,29283,21485,18265,8533,8469,3252,2933
R,7,2015,27,4431964,2250044,2181920,1681625,1599873,323829,330276,33941,30379,147100,155227,7435,6595,56114,59570,1730371,1651828,345868,355675,52184,49088,169726,178646,13296,12472,1776544,1758065,1266121,1230422,300938,307226,18461,17773,142337,150513,5316,4936,43371,47195,1303658,1271538,317585,327025,30762,30915,161561,170533,9905,9639,473500,423855,415504,369451,22891,23050,15480,12606,4763,4714,2119,1659,12743,12375,426713,380290,28283,28650,21422,18173,8165,8113,3391,2833
R,7,2015,28,4356010,2209668,2146342,1663508,1579760,308956,319110,32885,29390,144367,154055,7330,6496,52622,57531,1709280,1629924,329565,343339,50404,47933,165446,176630,12778,12116,1743502,1727502,1253350,1214353,287077,296556,17793,17114,139625,149450,5194,4781,40463,45248,1288353,1253686,302463,315280,29607,30041,157538,168762,9509,9242,466166,418840,410158,365407,21879,22554,15092,12276,4742,4605,2136,1715,12159,12283,420927,376238,27102,28059,20797,17892,7908,7868,3269,2874
