UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,1,2011,999,310633980,152742987,157890993,120195390,122691732,19383734,21216091,1908762,1869691,7389935,8130980,348446,337092,3516720,3645407,123296260,125885974,20860874,22798594,3089260,3119312,8674306,9431648,679468,676009,126687948,132567313,97141137,100353035,18222178,19998864,1123546,1155910,7136703,7877109,254698,250430,2809686,2931965,99614905,102917232,19393774,21262768,1986096,2089232,8224953,8979330,516778,520271,26055039,25323680,23054253,22338697,1161556,1217227,785216,713781,253232,253871,93748,86662,707034,713442,23681355,22968742,1467100,1535826,1103164,1030080,449353,452318,162690,155738
R,1,2011,0,3997962,2044182,1953780,1483637,1414893,308156,298628,32133,31248,93668,88221,5989,5565,120599,115225,1594765,1520980,372934,361013,57006,55267,137590,129678,14653,13707,1513074,1442434,1028070,976435,280377,271298,17271,16941,87639,82654,3960,3681,95757,91425,1116749,1061005,332722,321652,33430,32587,123932,116951,10256,9604,531108,511346,455567,438458,27779,27330,14862,14307,6029,5567,2029,1884,24842,23800,478016,459975,40212,39361,23576,22680,13658,12727,4397,4103
R,1,2011,1,3937454,2009939,1927515,1455523,1390064,302791,294523,32772,31729,95432,91256,5952,5767,117469,114176,1563679,1495038,366078,356758,56669,55023,138377,132395,14248,13870,1496986,1433178,1018000,968789,274559,267122,17429,16967,89443,85490,3953,3783,93602,91027,1104674,1052896,325994,317626,33016,32240,124939,119609,10016,9693,512953,494337,437523,421275,28232,27401,15343,14762,5989,5766,1999,1984,23867,23149,459005,442142,40084,39132,23653,22783,13438,12786,4232,4177
R,1,2011,2,4050049,2068059,1981990,1500045,1430665,314238,305581,33312,32014,97771,94515,6074,5948,116619,113267,1607183,1534772,377137,367467,57156,54997,139922,134937,14495,13943,1543129,1478305,1050806,999833,285368,278034,17718,17226,91785,88790,4030,3936,93422,90486,1136964,1083465,336849,328645,33385,32103,126907,122370,10202,9740,524930,503685,449239,430832,28870,27547,15594,14788,5986,5725,2044,2012,23197,22781,470219,451307,40288,38822,23771,22894,13015,12567,4293,4203
R,1,2011,3,4102526,2095066,2007460,1524755,1454268,314905,306439,34068,33216,100891,97095,6134,5933,114313,110509,1629653,1555602,376251,366517,57873,56148,142352,136683,14450,13826,1563190,1496864,1068443,1016380,286468,279108,17877,17770,94945,91549,4077,3905,91380,88152,1152735,1097532,336571,328092,33460,32702,129378,124395,10216,9678,531876,510596,456312,437888,28437,27331,16191,15446,5946,5546,2057,2028,22933,22357,476918,458070,39680,38425,24413,23446,12974,12288,4234,4148
R,1,2011,4,4101490,2096067,2005423,1532036,1460537,313699,303548,34411,32685,99085,95850,5968,5800,110868,107003,1633749,1558657,372543,361075,57749,55193,139665,134209,14104,13535,1569160,1499397,1078859,1025440,286182,276751,18107,17470,93186,90322,4008,3821,88818,85593,1160726,1104258,334393,324038,33420,32186,126970,122209,9961,9476,526907,506026,453177,435097,27517,26797,16304,15215,5899,5528,1960,1979,22050,21410,473023,454399,38150,37037,24329,23007,12695,12000,4143,4059
R,1,2011,5,4068909,2080239,1988670,1531500,1453780,304907,296922,33674,32774,98740,97562,5969,5844,105449,101788,1628112,1546950,360182,350803,56421,54551,137534,134789,13632,13142,1565239,1496477,1086970,1029131,278591,271475,18001,17690,93198,92382,3949,3942,84530,81857,1164751,1104322,323994,315826,32936,31982,125657,123588,9583,9363,515000,492193,444530,424649,26316,25447,15673,15084,5542,5180,2020,1902,20919,19931,463361,442628,36188,34977,23485,22569,11877,11201,4049,3779
R,1,2011,6,4071426,2078671,1992755,1534611,1461692,303137,293810,33146,32011,100319,100497,5931,5590,101527,99155,1627517,1552311,355712,345617,55447,53786,137987,136726,13370,12818,1575959,1510073,1099146,1044360,277828,269283,18093,17191,94803,95322,4101,3864,81988,80053,1174544,1117785,321150,312112,33038,31770,126441,125828,9622,9242,502712,482682,435465,417332,25309,24527,15053,14820,5516,5175,1830,1726,19539,19102,452973,434526,34562,33505,22409,22016,11546,10898,3748,3576
R,1,2011,7,4060880,2072415,1988465,1537974,1465008,300044,291364,32058,31616,98942,99905,5700,5367,97697,95205,1627302,1552094,350023,340466,54139,53092,135124,134923,12985,12388,1582148,1515665,1112535,1055387,275639,267722,17594,17131,93695,94846,3928,3704,78757,76875,1184835,1126021,316909,308345,32375,31659,124091,124161,9367,8938,490267,472800,425439,409621,24405,23642,14464,14485,5247,5059,1772,1663,18940,18330,442467,426073,33114,32121,21764,21433,11033,10762,3618,3450
R,1,2011,8,4046973,2064668,1982305,1532447,1461050,302884,295093,32485,31441,97759,98166,5685,5424,93408,91131,1617614,1544110,350470,341919,54199,52703,132110,131348,12825,12204,1579672,1514545,1110944,1054594,278845,272010,17821,17260,92566,93364,3965,3731,75531,73586,1180069,1121998,318294,310752,32460,31614,121419,121204,9333,8814,484996,467760,421503,406456,24039,23083,14664,14181,5193,4802,1720,1693,17877,17545,437545,422112,32176,31167,21739,21089,10691,10144,3492,3390
